aantal_bsn,gemeentenaam,go_kosten_als_perc_van_go_landelijk,go_kosten_als_perc_van_totale_kosten_gemeente,go_kosten_per_inwoner_gemeente,jaar,kosten_grensoverschrijdende_zorg,populatie,totale_go_kosten_landelijk,totale_kosten_gemeente
25920,AA EN HUNZE,0.0014218513176756883,0.2775407853755449,5.694398919753087,2011,147598.82,hele_populatie,10380749250.300022,53180947.73
30488,AALSMEER,0.0025894107787280502,0.495016198672423,8.816591445814748,2011,268800.24000000005,hele_populatie,10380749250.300022,54301301.800000004
27133,AALTEN,0.00205144874291078,0.38592751731254504,7.848588434747357,2011,212955.75000000003,hele_populatie,10380749250.300022,55180245.11
28294,ACHTKARSPELEN,0.0012355275800183033,0.2300804696437183,4.533011239131972,2011,128257.02000000002,hele_populatie,10380749250.300022,55744418.55
19262,ALBLASSERDAM,0.0013838893179685273,0.3711710787385317,7.458108192295711,2011,143658.08,hele_populatie,10380749250.300022,38704006.92
25103,ALBRANDSWAARD,0.003086294565787151,0.6295507791482224,12.762637931721308,2011,320380.5,hele_populatie,10380749250.300022,50890334.92000002
106675,ALKMAAR,0.010006196228754675,0.47139569420212635,9.73722184204359,2011,1038718.14,hele_populatie,10380749250.300022,220349517.99000004
73233,ALMELO,0.00889368202370669,0.5648950160618416,12.60675965753144,2011,923230.83,hele_populatie,10380749250.300022,163434054.78
193086,ALMERE,0.019333701080796215,0.5197184837910506,10.394244170991167,2011,2006983.0300000003,hele_populatie,10380749250.300022,386167337.2399999
107307,ALPHEN AAN DEN RIJN,0.00749027147513006,0.3689045737345259,7.24599793116945,2011,777546.3000000002,hele_populatie,10380749250.300022,210771661.66
9583,ALPHEN-CHAAM,0.0020997166461149265,1.2191995260791813,22.745102786183867,2011,217966.32,hele_populatie,10380749250.300022,17877821.909999996
53632,ALTENA,0.004349420828048137,0.44174978558091466,8.418527558174224,2011,451502.47,hele_populatie,10380749250.300022,102207739.48000003
3540,AMELAND,0.0012259649936945903,1.9215458998842245,35.004319209039544,2011,123915.29,hele_populatie,10107571638.450022,6448729.119999998
148697,AMERSFOORT,0.01918722061360296,0.6795078296424161,13.394871853500746,2011,1991777.2600000005,hele_populatie,10380749250.300022,293120575.38000005
81718,AMSTELVEEN,0.014267504245487811,0.8819419067871005,18.12420568295846,2011,1481073.8399999996,hele_populatie,10380749250.300022,167933265.06
781290,AMSTERDAM,0.19714284466902557,1.229879790272546,26.19373647429253,2011,20464904.37000001,hele_populatie,10380749250.300022,1663975986.2599993
157505,APELDOORN,0.017395098335005164,0.5141872594165912,11.46466169327958,2011,1805741.5400000003,hele_populatie,10380749250.300022,351183641.1600001
12175,APPINGEDAM,0.0006701602969360748,0.23421801029390898,5.713976180698151,2011,69567.65999999999,hele_populatie,10380749250.300022,29702096.739999995
148182,ARNHEM,0.015433293603096103,0.4942155974550909,10.811647231107692,2011,1602091.51,hele_populatie,10380749250.300022,324168544.71
67365,ASSEN,0.004980894225771385,0.34440349618428767,7.675412157648632,2011,517054.1400000001,hele_populatie,10380749250.300022,150130340.05999997
16410,ASTEN,0.0011881660661096811,0.37650860723922813,7.516181596587447,2011,123340.54,hele_populatie,10380749250.300022,32759022.669999998
6688,BAARLE-NASSAU,0.004072717101684939,2.794171284779532,63.2144961124402,2011,422778.55000000005,hele_populatie,10380749250.300022,15130731.329999998
24666,BAARN,0.0034542664633734075,0.6718028997212628,14.537368847806702,2011,358578.7400000001,hele_populatie,10380749250.300022,53375586.819999985
47336,BARENDRECHT,0.00497609254924514,0.5693407154488327,10.912533589656924,2011,516555.6900000002,hele_populatie,10380749250.300022,90728745.72
52790,BARNEVELD,0.010771405445206024,1.1727237122793395,21.181143966660354,2011,1118152.59,hele_populatie,10380749250.300022,95346634.36
16417,BEEK,0.009345053778001265,2.6169352200068072,59.090369738685524,2011,970086.6000000002,hele_populatie,10380749250.300022,37069568.730000004
36703,BEEKDAELEN,0.011994538158832935,1.4483306495209487,33.92428221126338,2011,1245122.93,hele_populatie,10380749250.300022,85969521.56
8779,BEEMSTER,0.0007147289488555526,0.4581228498255448,8.451329308577288,2011,74194.22,hele_populatie,10380749250.300022,16195267.280000001
13733,BEESEL,0.0011028066205981358,0.37089724851644634,8.336094808126411,2011,114479.59,hele_populatie,10380749250.300022,30865580.82
34491,BERG EN DAL,0.0027153869456181426,0.3604782500898512,8.172494563799253,2011,281877.51,hele_populatie,10380749250.300022,78195427.86000001
18308,BERGEIJK,0.005512567698169388,1.487481672422156,31.25659984706139,2011,572245.83,hele_populatie,10380749250.300022,38470781.89999999
13262,BERGEN LB,0.0011614875486614345,0.41737521445725506,9.09147262856281,2011,120571.10999999999,hele_populatie,10380749250.300022,28887942.02999999
31077,BERGEN NH,0.005489528802398634,0.8744313618110116,18.336847829584578,2011,569854.22,hele_populatie,10380749250.300022,65168547.8
66918,BERGEN OP ZOOM,0.03902054998470298,2.5984254225782135,60.53117920439941,2011,4050625.4499999997,hele_populatie,10380749250.300022,155887693.16999996
45182,BERKELLAND,0.002924382168187197,0.323980205266292,6.718887610110221,2011,303572.77999999997,hele_populatie,10380749250.300022,93701027.12
30181,BERNHEZE,0.0019114058649886505,0.329479282273171,6.574276862927007,2011,198418.25,hele_populatie,10380749250.300022,60221768.31000001
28760,BEST,0.003046752718652356,0.560438545603387,10.997070931849791,2011,316275.76,hele_populatie,10380749250.300022,56433620.150000006
25903,BEUNINGEN,0.002165627977127977,0.4413971123797339,8.67885611705208,2011,224808.41,hele_populatie,10380749250.300022,50931101.2
